1,Balloon # 01,R
2,Balloon # 02,R
3,Balloon # 03,R
4,Balloon # 04,G
5,Balloon # 05,G
6,Balloon # 06,G
7,Balloon # 07,B
8,Balloon # 08,B
9,Balloon # 09,B
10,Balloon # 10,R
11,Balloon # 11,R
12,Balloon # 12,R
13,Balloon # 13,G
14,Balloon # 14,G
15,Balloon # 15,B
16,Balloon # 16,B
17,Balloon # 17,R
18,Balloon # 18,G
19,Balloon # 19,B
20,Balloon # 20,R
21,Balloon # 21,G
22,Balloon # 22,B
23,Balloon # 23,R
24,Balloon # 24,G
25,Balloon # 25,B
26,Balloon # 26,B
27,Balloon # 27,R
28,Balloon # 28,G
29,Balloon # 29,R
30,Balloon # 30,G